Room: 303, Node number: 3, [3, '303', 0, 1526583219.302, datetime.datetime(2018, 5, 18, 0, 23, 39, 302000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583219.34, datetime.datetime(2018, 5, 18, 0, 23, 39, 340000)]
Room: 303, Node number: 3, [3, '303', 1, 1526583232.721, datetime.datetime(2018, 5, 18, 0, 23, 52, 721000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583235.464, datetime.datetime(2018, 5, 18, 0, 23, 55, 464000)]
Room: 303, Node number: 3, [3, '303', 1, 1526583245.799, datetime.datetime(2018, 5, 18, 0, 24, 5, 799000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583248.535, datetime.datetime(2018, 5, 18, 0, 24, 8, 535000)]
Room: 303, Node number: 3, [3, '303', 1, 1526583269.547, datetime.datetime(2018, 5, 18, 0, 24, 29, 547000)]
Room: 303, Node number: 3, [3, '303', 1, 1526583278.382, datetime.datetime(2018, 5, 18, 0, 24, 38, 382000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583281.092, datetime.datetime(2018, 5, 18, 0, 24, 41, 92000)]
Room: 303, Node number: 3, [3, '303', 1, 1526583286.702, datetime.datetime(2018, 5, 18, 0, 24, 46, 702000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583289.434, datetime.datetime(2018, 5, 18, 0, 24, 49, 434000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583311.574, datetime.datetime(2018, 5, 18, 0, 25, 11, 574000)]
Room: 303, Node number: 3, [3, '303', 1, 1526583312.836, datetime.datetime(2018, 5, 18, 0, 25, 12, 836000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583315.586, datetime.datetime(2018, 5, 18, 0, 25, 15, 586000)]
Room: 303, Node number: 3, [3, '303', 1, 1526583326.69, datetime.datetime(2018, 5, 18, 0, 25, 26, 690000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583329.077, datetime.datetime(2018, 5, 18, 0, 25, 29, 77000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583353.144, datetime.datetime(2018, 5, 18, 0, 25, 53, 144000)]
Room: 303, Node number: 3, [3, '303', 1, 1526583355.191, datetime.datetime(2018, 5, 18, 0, 25, 55, 191000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583357.938, datetime.datetime(2018, 5, 18, 0, 25, 57, 938000)]
Room: 303, Node number: 3, [3, '303', 0, 1526583378.08, datetime.datetime(2018, 5, 18, 0, 26, 18, 80000)]
Room: 303, Node number: 3, [3, '303', 0, 1526612594.691, datetime.datetime(2018, 5, 18, 8, 33, 14, 691000)]
Room: 303, Node number: 3, [3, '303', 0, 1526612594.713, datetime.datetime(2018, 5, 18, 8, 33, 14, 713000)]
Room: 303, Node number: 2, [2, '303', 1, 1526612594.814, datetime.datetime(2018, 5, 18, 8, 33, 14, 814000)]
Room: 303, Node number: 2, [2, '303', 1, 1526612594.845, datetime.datetime(2018, 5, 18, 8, 33, 14, 845000)]
Room: 303, Node number: 2, [2, '303', 0, 1526612601.032, datetime.datetime(2018, 5, 18, 8, 33, 21, 32000)]
Room: 303, Node number: 3, [3, '303', 1, 1526612614.849, datetime.datetime(2018, 5, 18, 8, 33, 34, 849000)]
Room: 303, Node number: 3, [3, '303', 0, 1526612617.601, datetime.datetime(2018, 5, 18, 8, 33, 37, 601000)]
